article_id,product_code,prod_name,product_type_name,detail_desc
0141661022,0141661,Velour pyjama,Pyjama jumpsuit/playsuit,"Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
0141661025,0141661,Velour pyjama,Pyjama jumpsuit/playsuit,"Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
0144993001,0144993,Mama 100 den 1p Tights,Underwear Tights,Matt tights with an elasticated waist and extra space for a growing tummy. 100 denier.
0145872001,0145872,Dorian l/s basic,Sweater,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872037,0145872,Dorian l/s basic,Sweater,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872043,0145872,Dorian l/s basic,Sweater,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872051,0145872,Dorian l/s basic,Top,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872052,0145872,Dorian l/s basic,Sweater,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0145872053,0145872,Dorian l/s basic,Sweater,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0146706001,0146706,Tanktop body white 3PACK,Bodysuit,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
0146706004,0146706,Tanktop body white 3PACK,Bodysuit,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
0146706005,0146706,3P TANKTOP BODY,Bodysuit,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
0146721001,0146721,Hair Ring,Hair string,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
0146721002,0146721,Hair Ring,Hair string,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
0146730001,0146730,200 den 1p leggings,Leggings/Tights,Opaque matt leggings with an elasticated waist. 200 denier.
0147339034,0147339,6P SS BODY,Bodysuit,Short-sleeved bodysuits in organic cotton jersey with press-studs at the crotch.
0148033001,0148033,Nouvelle 1p Stay Up,Leggings/Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
0148033006,0148033,Nouvelle 1p Stay Up,Socks,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
0150959011,0150959,THOMPSON woven sport pants,Trousers,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
0150959013,0150959,THOMPSON woven sport pants,Trousers,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
0153115019,0153115,OP Strapless^,Bra,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115020,0153115,OP Strapless^,Bra,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115021,0153115,OP Strapless^,Bra,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115039,0153115,OP Strapless^,Bra,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115040,0153115,OP Strapless^,Bra,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0153115043,0153115,OP Strapless^,Bra,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
0156224001,0156224,Box 4p Socks,Socks,Semi-matte socks with a short shaft. 20 denier.
0156224002,0156224,Box 4p Socks,Unknown,Semi-matte socks with a short shaft. 20 denier.
0156227001,0156227,Box 4p Kneehighs,Underwear Tights,Four pairs of knee highs. 20 denier.
0156227002,0156227,Box 4p Kneehighs,Underwear Tights,Four pairs of knee highs. 20 denier.
0156231001,0156231,Box 4p Tights,Underwear Tights,Matt tights with an elasticated waist. 20 denier.
0156231002,0156231,Box 4p Tights,Leggings/Tights,Matt tights with an elasticated waist. 20 denier.
0156289011,0156289,Slim Cheapo 79,Trousers,"5-pocket slim-fit jeans in washed denim with an adjustable elasticated waist, zip fly with a press-stud and slim legs."
0156610001,0156610,Connor pants,Trousers,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
0156610007,0156610,Anton sport pant,Trousers,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
0156610010,0156610,Anton sport pant,Trousers,"Sports trousers in fast-drying fabric made from recycled polyester with an elasticated drawstring waist, side pockets and tapered legs. Regular fit."
0158340001,0158340,Highwaist 30 den 1p Tights,Leggings/Tights,High-waisted tights that lift the bum and shape the waist and thighs. 30 denier.
0160442007,0160442,3p Sneaker Socks,Socks,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
0160442010,0160442,3p Sneaker Socks,Socks,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
0160442042,0160442,Sneaker 3p Socks,Socks,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
0160442043,0160442,3p Sneaker Socks,Socks,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place."
0162074062,0162074,Sigge sneaker sock 5p,Socks,Fine-knit trainer socks in various colours.
0162074069,0162074,Sigge sneaker sock 5p,Socks,Fine-knit trainer socks in various colours.
0162074071,0162074,Sigge sneaker sock 5p,Socks,Fine-knit trainer socks in various colours.
0163734002,0163734,KOMPIS 2-pack L/S,Top,Long-sleeved tops in soft organic cotton.
0163734054,0163734,KOMPIS 2-pack L/S,Top,Long-sleeved tops in soft organic cotton.
0164912035,0164912,Scallop 5p Socks,Socks,Fine-knit socks with a scalloped edge.
0164912039,0164912,Scallop 5p Socks,Socks,Fine-knit socks with a scalloped edge.
0174057022,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057026,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057027,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057028,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057029,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057030,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057032,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057033,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057035,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057036,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057037,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057038,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057039,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0174057040,0174057,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,"All-in-one pyjamas in soft, patterned fleece that fasten down the front and along one leg. Ribbing at the cuffs and hems."
0176209023,0176209,Mr Harrington w/hood,Hoodie,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209025,0176209,Mr Harrington w/hood,Hoodie,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209033,0176209,Mr Harrington w/hood,Hoodie,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209035,0176209,Mr Harrington w/hood,Hoodie,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209039,0176209,Mr Harrington w/hood,Hoodie,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209040,0176209,Mr Harrington w/hood,Hoodie,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209044,0176209,Mr Harrington w/hood,Hoodie,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176209046,0176209,Mr Harrington w/hood,Hoodie,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining."
0176550016,0176550,Sleep bag padded,Sleep Bag,"Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176550017,0176550,Sleep bag padded,Sleep Bag,"Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176550018,0176550,Sleep bag padded,Sleep Bag,"Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176550020,0176550,Sleep bag padded,Sleep Bag,"Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176550021,0176550,Sleep bag padded,Sleep Bag,"Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0176754001,0176754,2 Row Braided Headband (1),Hair/alice band,Two-strand hairband with braids in imitation suede and elastic at the back.
0176754003,0176754,2 Row Braided Headband (1),Hair/alice band,Two-strand hairband with braids in imitation suede and elastic at the back.
0176754019,0176754,2 Row Braided Headband (1),Hair/alice band,Two-strand hairband with braids in imitation suede and elastic at the back.
0179123001,0179123,Long Leggings,Leggings/Tights,Jersey leggings with an elasticated waist.
0179123040,0179123,Long Leggings (1),Leggings/Tights,Jersey leggings with an elasticated waist.
0179208001,0179208,Control Top 100 den 1p Tights,Leggings/Tights,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.
0179208008,0179208,Control Top 100 den 1p Tights,Leggings/Tights,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.
0179393001,0179393,Basic 2p Overknee,Socks,Fine-knit over-the-knee socks.
0179393018,0179393,Basic 2p Overknee,Socks,Fine-knit over-the-knee socks.
0179950001,0179950,Austin basic leather hip belt,Belt,Leather belt with a metal buckle. Width 2.5 cm.
0179950002,0179950,Austin basic leather hip belt,Belt,Leather belt with a metal buckle. Width 2.5 cm.
0179950017,0179950,Austin basic leather hip belt,Belt,Leather belt with a metal buckle. Width 2.5 cm.
0181160009,0181160,Eva chelsea boot,Boots,Chelsea boots with elasticated gores in the sides and rubber soles.
0181448022,0181448,Jenny 5-pack,Socks,Fine-knit socks.
0181448102,0181448,Jenny 5-pack,Socks,Fine-knit socks.
0181448103,0181448,Jenny 5-pack,Socks,Fine-knit socks.
0181448104,0181448,Jenny 5-pack,Socks,Fine-knit socks.
0181448105,0181448,Jenny 5-pack,Socks,Fine-knit socks.
0181448106,0181448,Jenny 5-pack,Socks,Fine-knit socks.
0181448109,0181448,Jenny 5-pack,Socks,Fine-knit socks.
0182909001,0182909,Fleece 1 p tights,Leggings/Tights,Opaque tights with an elasticated waist and soft fleece inside.
0183815013,0183815,Bobby elastic waist belt,Belt,"Wide, elastic waist belt with imitation leather details and a metal fastener. Width 6.5 cm."
0184121021,0184121,FIFTY SHADES moulded halternec,Bikini top,"Bikini top with underwired, moulded, lightly padded cups, a metal fastener at the back, ties at the back of the neck and a bow at the front."
0184123020,0184123,FIFTY SHADES  tie brief,Swimwear bottom,Fully lined bikini bottoms with a mid waist and wide ties at the sides.
0184583014,0184583,Robin 3pk solid,Underwear bottom,"Trunks in stretch organic cotton jersey with flatlock seams, short legs, an elasticated waist and lined front."
0186262001,0186262,4p Claw,Hair clip,Plastic hair claws. Width 2.5 cm.
0186262006,0186262,4p Claw,Hair clip,Plastic hair claws. Width 2.5 cm.
0186262007,0186262,4p Claw,Hair clip,Plastic hair claws. Width 2.5 cm.
0186262013,0186262,4p Claw,Hair clip,Plastic hair claws. Width 2.5 cm.
0186264014,0186264,10p Terry w.o. Clip,Hair string,Hair elastics without metal clips.
0186264015,0186264,10p Terry w.o. Clip,Hair string,Hair elastics without metal clips.
0186264016,0186264,10p Terry w.o. Clip,Hair string,Hair elastics without metal clips.
0186266004,0186266,10p Basic Terry,Hair string,Hair elastics with metal clips.
0186267001,0186267,12p Claw,Hair clip,Mini plastic hair claws.
0186372011,0186372,Harem trousers,Trousers,Harem trousers in jersey with elastication at the waist and hems.
0186372042,0186372,Harem trousers,Trousers,Harem trousers in jersey with elastication at the waist and hems.
0186372045,0186372,Harem trousers,Trousers,Harem trousers in jersey with elastication at the waist and hems.
0186595001,0186595,Lena over knee.,Socks,Fine-knit over-the-knee socks.
0187949016,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0187949019,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0187949020,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0187949025,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0187949026,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0187949028,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0187949029,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0187949030,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0187949031,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0187949032,0187949,Padded pyjama,Pyjama jumpsuit/playsuit,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding."
0188183001,0188183,Spanx alot shape Swimsuit,Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183008,0188183,SPANX ALOT swimsuit (1),Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183009,0188183,SPANX ALOT swimsuit (1),Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183010,0188183,SPANX ALOT swimsuit (1),Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183012,0188183,SPANX ALOT swimsuit (1),Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183014,0188183,SPANX ALOT swimsuit (1),Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183015,0188183,Spanx alot Swimsuit,Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183016,0188183,Spanx alot Swimsuit,Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183018,0188183,Spanx alot Swimsuit,Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183020,0188183,Spanx alot Swimsuit,Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183021,0188183,Spanx alot Swimsuit,Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183022,0188183,Spanx alot Swimsuit,Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0188183023,0188183,Spanx alot Swimsuit,Swimsuit,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0189383001,0189383,BASIC LS TURTLE NECK BODY,Bodysuit,"Long-sleeved bodysuit in soft, ribbed organic cotton jersey with a polo neck, concealed press-studs on one shoulder and press-studs at the crotch."
0189383014,0189383,BASIC LS TURTLE NECK BODY,Bodysuit,"Long-sleeved bodysuit in soft, ribbed organic cotton jersey with a polo neck, concealed press-studs on one shoulder and press-studs at the crotch."
0189616001,0189616,Tina leggings,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616006,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616007,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616008,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616009,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616014,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616015,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616016,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616028,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616032,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189616038,0189616,Heavy jsy long leg,Leggings/Tights,Leggings in extra sturdy jersey with an elasticated waist.
0189626001,0189626,Jodi skirt,Skirt,"Short, bell-shaped skirt in stretch jersey with wide elastication at the waist. Unlined."
0189634001,0189634,Long Leg Leggings,Leggings/Tights,Leggings in stretch jersey with an elasticated waist.
0189634031,0189634,Long Leg Leggings,Leggings/Tights,Leggings in stretch jersey with an elasticated waist.
0189654001,0189654,Raven skirt,Skirt,Short jersey skirt with an elasticated waist.
0189654045,0189654,Raven skirt,Skirt,Short jersey skirt with an elasticated waist.
0189654046,0189654,Raven skirt,Skirt,Short jersey skirt with an elasticated waist.
0189654047,0189654,Raven skirt,Skirt,Short jersey skirt with an elasticated waist.
0189691033,0189691,Carolina sweater (1),Sweater,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
0189691044,0189691,Carolina sweater (1),Sweater,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
0189691051,0189691,Carolina sweater (1),Sweater,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
0189691063,0189691,Carolina sweater (1),Sweater,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
0189691067,0189691,Carolina sweater (1),Sweater,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
0189691075,0189691,Carolina sweater (1),Sweater,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
0189955076,0189955,Nora tee,T-shirt,"Top in soft slub jersey with a fake front pocket, short sleeves with sewn-in turn-ups, and a rounded hem."
0190021001,0190021,Basic 5p Minishaftless,Socks,"Fine-knit, shaftless socks."
0190021003,0190021,Basic 5p Minishaftless,Socks,"Fine-knit, shaftless socks."
